titre,titre_origine,score,genre,annee,duree,description,acteurs,public,pays
Spartacus,Original title: Spartacus: Blood and Sand,8.5,"['Action', 'Adventure', 'Biography']",2010–2013,55m,"The life of Spartacus, the gladiator who lead a rebellion against the Romans. From his time as an ally of the Romans, to his betrayal and becoming a gladiator, to the rebellion he leads and its ultimate outcome.","['Andy Whitfield', 'Lucy Lawless', 'Manu Bennett']",TV-MA,United States
Shameless,,8.6,"['Comedy', 'Drama']",2011–2021,46m,"A scrappy, feisty, fiercely loyal Chicago family makes no apologies.","['Emmy Rossum', 'William H. Macy', 'Ethan Cutkosky']",TV-MA,United States
Mob Psycho 100,,8.6,"['Animation', 'Action', 'Comedy']",2016–2022,24m,"A psychic middle school boy tries to live a normal life and keep his growing powers under control, even though he constantly gets into trouble.","['Setsuo Ito', 'Takahiro Sakurai', 'Chris Niosi']",TV-14,Japan
Endeavour,,8.6,"['Crime', 'Drama', 'Mystery']",2012–2023,1h 29m,"Set from 1965 into the 1970s, the show follows Endeavour Morse in his early years as a police constable. Working alongside his senior partner DI Fred Thursday, Morse engages in a number of investigations around Oxford.","['Shaun Evans', 'Roger Allam', 'James Bradshaw']",TV-14,United Kingdom
Doctor Who,,8.6,"['Adventure', 'Drama', 'Sci-Fi']",2005– ,45m,The further adventures in time and space of the alien adventurer known as the Doctor and their companions from planet Earth.,"['Jodie Whittaker', 'Peter Capaldi', 'Pearl Mackie']",TV-PG,United Kingdom
Ezel,,8.7,"['Crime', 'Drama', 'Thriller']",2009–2011,1h 30m,"Betrayed by his trusted friends and the woman he loved, Ömer Uçar returns as Ezel to exact his vengeance.","['Kenan Imirzalioglu', 'Cansu Dere', 'Yigit Özsener']",TV-14,Turkey
Samurai Jack,,8.5,"['Animation', 'Action', 'Adventure']",2001–2017,25m,"A samurai, sent through time, fights to return home and save the world.","['Phil LaMarr', 'Mako', 'Kevin Michael Richardson']",TV-MA,United States
Through the Wormhole,,8.6,['Documentary'],2010–2017,1h,"Hosted by Morgan Freeman, Through the Wormhole will explore the deepest mysteries of existence - the questions that have puzzled mankind for eternity. What are we made of? What was there before the beginning? Are we really alone? Is there a creator? These questions have been pond...","['Morgan Freeman', 'Sean Carroll', 'Michio Kaku']",TV-PG,United States
Letterkenny,,8.7,['Comedy'],2016– ,30m,"Quick-witted, fast-paced snappy comedy about rural folk getting by in a small town.","['Jared Keeso', 'Nathan Dales', 'Michelle Mylett']",TV-MA,Canada
The Rehearsal,,8.6,"['Documentary', 'Comedy']",2022– ,30m,Nathan Fielder gives people a chance to rehearse for their own lives in a world where nothing ever works out as expected.,"['Nathan Fielder', 'Journey Baker', 'Anna Lamadrid']",TV-MA,United States
The Family Man,,8.7,"['Action', 'Comedy', 'Drama']",2019– ,45m,"A working man from the National Investigation Agency tries to protect the nation from terrorism, but he also needs to keep his family safe from his secret job.","['Manoj Bajpayee', 'Samantha Ruth Prabhu', 'Priyamani']",TV-14,India
The Office,,8.5,"['Comedy', 'Drama']",2001–2003,30m,The story of an office that faces closure when the company decides to downsize its branches. A documentary film crew follow staff and the manager David Brent as they continue their daily lives.,"['Ricky Gervais', 'Martin Freeman', 'Mackenzie Crook']",TV-MA,United Kingdom
Mr. Robot,,8.5,"['Crime', 'Drama', 'Thriller']",2015–2019,49m,"Elliot, a brilliant but highly unstable young cyber-security engineer and vigilante hacker, becomes a key figure in a complex game of global dominance when he and his shadowy allies try to take down the corrupt corporation he works for.","['Rami Malek', 'Christian Slater', 'Carly Chaikin']",TV-MA,United States
I'm Alan Partridge,,8.6,['Comedy'],1997–2002,29m,"A failed television presenter, now presenting a programme on local desperately tries to revive his broadcasting career.","['Steve Coogan', 'Simon Greenall', 'Felicity Montagu']",TV-MA,United Kingdom
Samurai Champloo,Original title: Samurai chanpurû,8.6,"['Animation', 'Action', 'Adventure']",2004–2005,24m,"Fuu, a waitress who works in a teahouse, rescues two master swordsmen, Mugen and Jin, from their execution to help her find the ""samurai who smells of sunflowers.""","['Kazuya Nakai', 'Ginpei Sato', 'Ayako Kawasumi']",TV-MA,Japan
Whose Line Is It Anyway?,,8.5,"['Comedy', 'Game-Show']",1998–2007,30m,Improvisational comedy competition show in which four members of the regular cast as comedians and often with guest appearances with other comedians and celebrities and members of the audience perform various comic games and sketches.,"['Drew Carey', 'Colin Mochrie', 'Ryan Stiles']",TV-PG,United States
The IT Crowd,,8.5,['Comedy'],2006–2013,25m,"The comedic misadventures of Roy, Moss and their grifting supervisor Jen, a rag-tag team of IT support workers at a large corporation headed by a hotheaded yuppie.","[""Chris O'Dowd"", 'Richard Ayoade', 'Katherine Parkinson']",TV-14,United Kingdom
